N ,01-A (mass number),01-Z (atomic number),01-q (ion charge),01-TKE [MeV],01-Energy Loss (MeV),01-Time from Target [ns],01-Momentum [GeV/c],01-Brho [T*m],02-A (mass number),02-Z (atomic number),02-q (ion charge),02-TKE [MeV],02-Energy Loss (MeV),02-Time from Target [ns],02-Momentum [GeV/c],02-Brho [T*m],03-A (mass number),03-Z (atomic number),03-q (ion charge),03-TKE [MeV],03-Energy Loss (MeV),03-Time from Target [ns],03-Momentum [GeV/c],03-Brho [T*m],04-A (mass number),04-Z (atomic number),04-q (ion charge),04-TKE [MeV],04-Energy Loss (MeV),04-Time from Target [ns],04-Momentum [GeV/c],04-Brho [T*m]
22,1.890000e+02,7.300000e+01,7.100000e+01,1.278086e+04,0.000000e+00,7.404871e+02,6.827750e+01,3.207735e+00,1.890000e+02,7.300000e+01,7.100000e+01,1.166721e+04,1.113642e+03,7.404871e+02,6.513540e+01,3.060117e+00,1.890000e+02,7.300000e+01,7.100000e+01,1.051318e+04,1.154026e+03,7.404871e+02,6.173200e+01,2.900222e+00,1.890000e+02,7.300000e+01,7.100000e+01,5.751042e+03,4.762112e+03,7.404871e+02,4.535707e+01,2.130914e+00
23,1.860000e+02,7.200000e+01,7.000000e+01,1.262080e+04,0.000000e+00,7.391735e+02,6.731104e+01,3.207506e+00,1.860000e+02,7.200000e+01,7.000000e+01,1.154513e+04,1.075669e+03,7.391735e+02,6.428217e+01,3.063175e+00,1.860000e+02,7.200000e+01,7.000000e+01,1.042398e+04,1.121144e+03,7.391735e+02,6.098551e+01,2.906082e+00,1.860000e+02,7.200000e+01,7.000000e+01,5.786655e+03,4.637298e+03,7.391735e+02,4.514222e+01,2.151118e+00
24,1.890000e+02,7.300000e+01,7.100000e+01,1.272370e+04,0.000000e+00,7.417397e+02,6.811932e+01,3.200304e+00,1.890000e+02,7.300000e+01,7.100000e+01,1.161438e+04,1.109314e+03,7.417397e+02,6.498306e+01,3.052960e+00,1.890000e+02,7.300000e+01,7.100000e+01,1.046337e+04,1.151003e+03,7.417397e+02,6.158138e+01,2.893146e+00,1.890000e+02,7.300000e+01,7.100000e+01,5.654871e+03,4.808480e+03,7.417397e+02,4.497018e+01,2.112738e+00
25,1.910000e+02,7.400000e+01,7.200000e+01,1.295781e+04,0.000000e+00,7.391793e+02,6.911540e+01,3.202002e+00,1.910000e+02,7.400000e+01,7.200000e+01,1.183799e+04,1.119819e+03,7.391793e+02,6.596101e+01,3.055865e+00,1.910000e+02,7.400000e+01,7.200000e+01,1.065335e+04,1.184634e+03,7.391793e+02,6.247272e+01,2.894257e+00,1.910000e+02,7.400000e+01,7.200000e+01,5.787164e+03,4.866160e+03,7.391793e+02,4.573793e+01,2.118963e+00
26,1.890000e+02,7.300000e+01,7.100000e+01,1.276321e+04,0.000000e+00,7.407365e+02,6.822868e+01,3.205442e+00,1.890000e+02,7.300000e+01,7.100000e+01,1.165971e+04,1.103488e+03,7.407365e+02,6.511380e+01,3.059102e+00,1.890000e+02,7.300000e+01,7.100000e+01,1.051690e+04,1.142801e+03,7.407365e+02,6.174326e+01,2.900751e+00,1.890000e+02,7.300000e+01,7.100000e+01,5.745009e+03,4.771872e+03,7.407365e+02,4.533289e+01,2.129778e+00
27,1.910000e+02,7.400000e+01,7.200000e+01,1.295607e+04,0.000000e+00,7.391056e+02,6.911058e+01,3.201779e+00,1.910000e+02,7.400000e+01,7.200000e+01,1.183814e+04,1.117925e+03,7.391056e+02,6.596144e+01,3.055884e+00,1.910000e+02,7.400000e+01,7.200000e+01,1.065178e+04,1.186356e+03,7.391056e+02,6.246797e+01,2.894038e+00,1.910000e+02,7.400000e+01,7.200000e+01,5.782578e+03,4.869175e+03,7.391056e+02,4.571952e+01,2.118110e+00
28,1.890000e+02,7.300000e+01,7.100000e+01,1.278691e+04,0.000000e+00,7.400602e+02,6.829423e+01,3.208521e+00,1.890000e+02,7.300000e+01,7.100000e+01,1.167793e+04,1.108974e+03,7.400602e+02,6.516628e+01,3.061568e+00,1.890000e+02,7.300000e+01,7.100000e+01,1.052156e+04,1.156360e+03,7.400602e+02,6.175733e+01,2.901412e+00,1.890000e+02,7.300000e+01,7.100000e+01,5.764758e+03,4.756782e+03,7.400602e+02,4.541199e+01,2.133494e+00
29,1.930000e+02,7.500000e+01,7.300000e+01,1.317222e+04,0.000000e+00,7.369429e+02,7.005638e+01,3.201136e+00,1.930000e+02,7.500000e+01,7.300000e+01,1.201269e+04,1.159526e+03,7.369429e+02,6.679770e+01,3.052235e+00,1.930000e+02,7.500000e+01,7.300000e+01,1.081268e+04,1.200005e+03,7.369429e+02,6.327109e+01,2.891091e+00,1.930000e+02,7.500000e+01,7.300000e+01,5.854362e+03,4.958293e+03,7.369429e+02,4.624350e+01,2.113037e+00
30,1.900000e+02,7.400000e+01,7.200000e+01,1.304654e+04,0.000000e+00,7.352168e+02,6.918394e+01,3.205177e+00,1.900000e+02,7.400000e+01,7.200000e+01,1.192554e+04,1.120996e+03,7.352168e+02,6.604380e+01,3.059700e+00,1.900000e+02,7.400000e+01,7.200000e+01,1.074773e+04,1.177805e+03,7.352168e+02,6.259664e+01,2.899999e+00,1.900000e+02,7.400000e+01,7.200000e+01,5.941438e+03,4.806268e+03,7.352168e+02,4.623349e+01,2.141921e+00
31,1.910000e+02,7.400000e+01,7.200000e+01,1.302415e+04,0.000000e+00,7.377630e+02,6.929832e+01,3.210477e+00,1.910000e+02,7.400000e+01,7.200000e+01,1.191521e+04,1.108935e+03,7.377630e+02,6.618275e+01,3.066137e+00,1.910000e+02,7.400000e+01,7.200000e+01,1.075129e+04,1.163913e+03,7.377630e+02,6.276762e+01,2.907920e+00,1.910000e+02,7.400000e+01,7.200000e+01,5.906807e+03,4.844460e+03,7.377630e+02,4.621595e+01,2.141108e+00
32,1.890000e+02,7.300000e+01,7.100000e+01,1.273708e+04,0.000000e+00,7.409724e+02,6.815637e+01,3.202045e+00,1.890000e+02,7.300000e+01,7.100000e+01,1.160489e+04,1.132184e+03,7.409724e+02,6.495565e+01,3.051672e+00,1.890000e+02,7.300000e+01,7.100000e+01,1.045498e+04,1.149901e+03,7.409724e+02,6.155597e+01,2.891952e+00,1.890000e+02,7.300000e+01,7.100000e+01,5.657486e+03,4.797474e+03,7.409724e+02,4.498075e+01,2.113234e+00
33,1.890000e+02,7.300000e+01,7.100000e+01,1.275353e+04,0.000000e+00,7.410283e+02,6.820191e+01,3.204184e+00,1.890000e+02,7.300000e+01,7.100000e+01,1.165064e+04,1.102888e+03,7.410283e+02,6.508764e+01,3.057873e+00,1.890000e+02,7.300000e+01,7.100000e+01,1.047776e+04,1.172875e+03,7.410283e+02,6.162491e+01,2.895191e+00,1.890000e+02,7.300000e+01,7.100000e+01,5.709239e+03,4.768494e+03,7.410283e+02,4.518928e+01,2.123031e+00
34,1.900000e+02,7.400000e+01,7.200000e+01,1.299810e+04,0.000000e+00,7.363824e+02,6.905081e+01,3.199010e+00,1.900000e+02,7.400000e+01,7.200000e+01,1.187724e+04,1.120852e+03,7.363824e+02,6.590557e+01,3.053296e+00,1.900000e+02,7.400000e+01,7.200000e+01,1.069872e+04,1.178515e+03,7.363824e+02,6.244955e+01,2.893184e+00,1.900000e+02,7.400000e+01,7.200000e+01,5.873212e+03,4.825482e+03,7.363824e+02,4.596291e+01,2.129386e+00
35,1.880000e+02,7.300000e+01,7.100000e+01,1.280303e+04,0.000000e+00,7.376737e+02,6.816371e+01,3.202389e+00,1.880000e+02,7.300000e+01,7.100000e+01,1.171719e+04,1.085834e+03,7.376737e+02,6.511153e+01,3.058995e+00,1.880000e+02,7.300000e+01,7.100000e+01,1.056671e+04,1.150475e+03,7.376737e+02,6.173401e+01,2.900316e+00,1.880000e+02,7.300000e+01,7.100000e+01,5.814337e+03,4.752350e+03,7.376737e+02,4.549088e+01,2.137201e+00
36,1.910000e+02,7.400000e+01,7.200000e+01,1.297539e+04,0.000000e+00,7.386641e+02,6.916391e+01,3.204249e+00,1.910000e+02,7.400000e+01,7.200000e+01,1.185963e+04,1.115750e+03,7.386641e+02,6.602323e+01,3.058747e+00,1.910000e+02,7.400000e+01,7.200000e+01,1.067999e+04,1.179636e+03,7.386641e+02,6.255306e+01,2.897980e+00,1.910000e+02,7.400000e+01,7.200000e+01,5.854913e+03,4.825055e+03,7.386641e+02,4.600919e+01,2.131530e+00
37,1.880000e+02,7.300000e+01,7.100000e+01,1.281295e+04,0.000000e+00,7.376676e+02,6.819103e+01,3.203673e+00,1.880000e+02,7.300000e+01,7.100000e+01,1.171763e+04,1.095309e+03,7.376676e+02,6.511279e+01,3.059055e+00,1.880000e+02,7.300000e+01,7.100000e+01,1.055644e+04,1.161185e+03,7.376676e+02,6.170312e+01,2.898866e+00,1.880000e+02,7.300000e+01,7.100000e+01,5.837440e+03,4.718979e+03,7.376676e+02,4.558265e+01,2.141512e+00
38,1.950000e+02,7.600000e+01,7.400000e+01,1.344000e+04,0.000000e+00,7.338970e+02,7.114318e+01,3.206866e+00,1.950000e+02,7.600000e+01,7.400000e+01,1.226988e+04,1.170118e+03,7.338970e+02,6.787002e+01,3.059325e+00,1.950000e+02,7.600000e+01,7.400000e+01,1.106151e+04,1.208363e+03,7.338970e+02,6.433762e+01,2.900097e+00,1.950000e+02,7.600000e+01,7.400000e+01,6.034012e+03,5.027476e+03,7.338970e+02,4.719801e+01,2.127508e+00
39,1.890000e+02,7.300000e+01,7.100000e+01,1.277649e+04,0.000000e+00,7.406082e+02,6.826542e+01,3.207168e+00,1.890000e+02,7.300000e+01,7.100000e+01,1.166753e+04,1.108947e+03,7.406082e+02,6.513634e+01,3.060161e+00,1.890000e+02,7.300000e+01,7.100000e+01,1.051092e+04,1.156612e+03,7.406082e+02,6.172518e+01,2.899902e+00,1.890000e+02,7.300000e+01,7.100000e+01,5.760670e+03,4.750224e+03,7.406082e+02,4.539563e+01,2.132725e+00
40,1.910000e+02,7.400000e+01,7.200000e+01,1.299373e+04,0.000000e+00,7.381336e+02,6.921449e+01,3.206593e+00,1.910000e+02,7.400000e+01,7.200000e+01,1.188448e+04,1.109243e+03,7.381336e+02,6.609460e+01,3.062053e+00,1.910000e+02,7.400000e+01,7.200000e+01,1.071636e+04,1.168118e+03,7.381336e+02,6.266258e+01,2.903054e+00,1.910000e+02,7.400000e+01,7.200000e+01,5.874129e+03,4.842206e+03,7.381336e+02,4.608585e+01,2.135081e+00
